"Payment ID","Created At","Customer ID","Customer Name","Customer Email","Billing Country","Amount","Tax","Currency","Settlement Amount","Settlement Tax","Settlement Currency","Payment Method","Payment Method Type","Payment Status","Payment Fee","Net Amount In Wallet After Fees","Metadata"
"pay_oCSNnXAEB4iExAIIt8hWn","2025-06-10 04:24:01.920346","cus_ZS0PQU1LIYdVUNAGB51mU","Nitin2","nitin2@gmail.com","IN",1711.55,261.08,"INR",1711.55,261.08,"INR","upi","upi_collect","succeeded",72.47,35816.01,"{}"
"pay_TJ4oIHo2tWZdbO9eLnPQX","2025-06-09 17:53:00.619692","cus_ZS0PQU1LIYdVUNAGB51mU","Nitin2","nitin2@gmail.com","IN",1712.49,261.23,"INR",1712.49,261.23,"INR","upi","upi_collect","failed",0,NULL,"{}"
"pay_PKEtbzv6PiOYeUB4rDk7F","2025-06-09 14:11:15.678432","cus_ZS0PQU1LIYdVUNAGB51mU","Nitin2","nitin2@gmail.com","IN",1712.21,261.18,"INR",1712.21,261.18,"INR","upi","upi_collect","failed",0,NULL,"{}"
"pay_fgjrRa1GRh79DnqkSLtRp","2025-06-09 14:06:24.819221","cus_ZS0PQU1LIYdVUNAGB51mU","Nitin2","nitin2@gmail.com","IN",1712.21,261.18,"INR",1712.21,261.18,"INR","upi","upi_collect","failed",0,NULL,"{}"
"pay_fCPpSjUxeHI54KNLFsPoy","2025-06-09 14:03:36.109494","cus_TwpDiUJwSH327vT25l95i","Nitin","nitin@gmail.com","IN",1712.21,261.18,"INR",1712.21,261.18,"INR","upi","upi_collect","succeeded",72.49,34438.01,"{}"
"pay_TvRFQ7Hk23nzKRySggeL6","2025-06-09 14:02:35.414747","cus_TwpDiUJwSH327vT25l95i","Nitin","nitin@gmail.com","IN",1712.21,261.18,"INR",1712.21,261.18,"INR","upi","upi_collect","failed",0,NULL,"{}"
"pay_OHvUyvvu20CVpK8obr8tF","2025-06-08 13:51:26.404944","cus_TwpDiUJwSH327vT25l95i","Nitin","nitin@gmail.com","IN",1714.6,261.55,"INR",1714.6,261.55,"INR","upi","upi_collect","succeeded",72.59,33059.47,"{}"
"pay_RhfVyq66ezAGF4ESt8bwe","2025-06-08 12:04:35.401309","cus_TwpDiUJwSH327vT25l95i","Nitin","nitin@gmail.com","IN",1714.6,261.55,"INR",1714.6,261.55,"INR","upi","upi_collect","succeeded",72.59,31679.01,"{}"
"pay_5f60WDSU5gSprY4aUus81","2025-06-05 12:42:08.243282","cus_TwpDiUJwSH327vT25l95i","Nitin","nitin@gmail.com","IN",1715.26,261.65,"INR",1715.26,261.65,"INR","upi","upi_collect","failed",0,NULL,"{}"
"pay_1NacwP3ym1o8atyyb7cQt","2025-06-05 12:40:29.340956","cus_TwpDiUJwSH327vT25l95i","Nitin","nitin@gmail.com","IN",1715.26,261.65,"INR",1715.26,261.65,"INR","upi","upi_collect","failed",0,NULL,"{}"
"pay_sDLDXUG7tEB77wfXwL5rr","2025-06-05 12:33:21.376030","cus_TwpDiUJwSH327vT25l95i","Nitin","nitin@gmail.com","IN",1715.26,261.65,"INR",1715.26,261.65,"INR","upi","upi_collect","failed",0,NULL,"{}"
"pay_ntpucBiLqPoXZyzwGLzXF","2025-06-05 12:30:29.101229","cus_TwpDiUJwSH327vT25l95i","Nitin","nitin@gmail.com","IN",1715.26,261.65,"INR",1715.26,261.65,"INR","upi","upi_collect","succeeded",72.62,30298.55,"{}"
"pay_gz1dohQ50KheCVPOtMtyq","2025-06-05 09:59:55.783009","cus_TwpDiUJwSH327vT25l95i","Nitin","nitin@gmail.com","IN",1716.1,261.78,"INR",1716.1,261.78,"INR","upi","upi_collect","succeeded",72.65,28917.56,"{}"
"pay_g7x8IQ89d1FQJVCVGRlPx","2025-06-05 06:02:56.719768","cus_ZS0PQU1LIYdVUNAGB51mU","Nitin2","nitin2@gmail.com","IN",1716.55,261.85,"INR",1716.55,261.85,"INR","upi","upi_collect","succeeded",72.67,27535.89,"{}"
"pay_F07Getxy11kWAtU1if8tQ","2025-06-05 05:18:55.524644","cus_KAQJAVfMmXYvymIpMmSOK","Nitin","nitin1@gmail.com","IN",1718.75,262.18,"INR",1718.75,262.18,"INR","upi","upi_collect","succeeded",72.75,26153.86,"{}"
"pay_sY8kI9RFvp3zCCKtiLGrv","2025-05-29 14:21:01.496330","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1706.73,260.35,"INR",1706.73,260.35,"INR","card",NULL,"succeeded",72.27,24770.04,"{}"
"pay_qUmxkLM2zTBPz1oE8cFNH","2025-05-29 12:35:41.702403","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.56,260.63,"INR",1708.56,260.63,"INR","card",NULL,"failed",0,NULL,"{}"
"pay_1QPYiCaE9E46JIIJgjehx","2025-05-29 12:21:55.753557","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.56,260.63,"INR",1708.56,260.63,"INR","card",NULL,"failed",0,NULL,"{}"
"pay_aNIywHLuRc8qEJupQ2czK","2025-05-29 12:14:23.763407","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.56,260.63,"INR",1708.56,260.63,"INR","upi","upi_collect","failed",0,NULL,"{}"
"pay_YA2qgnzF6BJOBF0S8PwtW","2025-05-29 12:05:25.367297","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.56,260.63,"INR",1708.56,260.63,"INR","card",NULL,"failed",0,NULL,"{}"
"pay_XH7M5A9hvVyA2mfZenNcs","2025-05-29 12:04:28.231570","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.56,260.63,"INR",1708.56,260.63,"INR","card",NULL,"failed",0,NULL,"{}"
"pay_xnj3FNEtsaHIwggWPS0dX","2025-05-29 12:02:21.327472","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.56,260.63,"INR",1708.56,260.63,"INR","upi","upi_collect","succeeded",72.35,23395.93,"{}"
"pay_zDsNdJ3Eg6NffQz9vGtxS","2025-05-29 12:00:19.459796","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.56,260.63,"INR",1708.56,260.63,"INR","upi","upi_collect","succeeded",72.35,22020.35,"{}"
"pay_2in3o7PsWId1whIJ5vtcl","2025-05-29 11:54:20.101251","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.06,260.7,"INR",1709.06,260.7,"INR","upi","upi_collect","succeeded",72.37,20644.77,"{}"
"pay_TRll8xlYrzJrto2cCBd56","2025-05-29 11:52:33.680185","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.06,260.7,"INR",1709.06,260.7,"INR","upi","upi_collect","succeeded",72.37,19268.78,"{}"
"pay_N9K3LIHJYQ8KFCiPZG3XS","2025-05-29 11:06:45.980179","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.06,260.7,"INR",1709.06,260.7,"INR","card",NULL,"failed",0,NULL,"{}"
"pay_ArU5KGwpPPkwqTMIffTgR","2025-05-29 11:05:46.837791","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.06,260.7,"INR",1709.06,260.7,"INR","upi","upi_collect","succeeded",72.37,17892.79,"{}"
"pay_hwNLX5lT7J31XGPZJOLzg","2025-05-29 11:03:23.507920","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.06,260.7,"INR",1709.06,260.7,"INR","upi","upi_collect","failed",0,NULL,"{}"
"pay_asiFpBoqp1NvSif6hetAB","2025-05-29 11:01:32.864940","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.06,260.7,"INR",1709.06,260.7,"INR","upi","upi_collect","succeeded",72.37,16516.8,"{}"
"pay_wECQK6ljZwMgV5QvEC59z","2025-05-29 10:59:33.662985","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.89,260.83,"INR",1709.89,260.83,"INR","upi","upi_collect","succeeded",72.4,15140.81,"{}"
"pay_RT0i6auBt6kFBLoVD5SgU","2025-05-29 10:42:42.768256","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.89,260.83,"INR",1709.89,260.83,"INR","upi","upi_collect","succeeded",72.4,13764.15,"{}"
"pay_syNX4b28Qd8sLcZQ3EQv8","2025-05-29 10:38:11.219460","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.89,260.83,"INR",1709.89,260.83,"INR","upi","upi_collect","succeeded",72.4,12387.49,"{}"
"pay_I09muxYM9rejV1uE9hPyF","2025-05-29 10:35:28.593397","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.89,260.83,"INR",1709.89,260.83,"INR","upi","upi_collect","succeeded",72.4,11010.83,"{}"
"pay_u8imKGFOmrcKvpaHjycQU","2025-05-29 10:32:34.980479","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.89,260.83,"INR",1709.89,260.83,"INR","upi","upi_collect","succeeded",72.4,9634.17,"{}"
"pay_6uO3Az5GaVArB4XkutYby","2025-05-29 10:27:13.237084","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.89,260.83,"INR",1709.89,260.83,"INR","upi","upi_collect","succeeded",72.4,8257.51,"{}"
"pay_ayHjmvJSWiVVO37ReFLQo","2025-05-29 09:44:19.674136","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.8,260.66,"INR",1708.8,260.66,"INR","upi","upi_collect","succeeded",72.36,6880.85,"{}"
"pay_bNP6boqYgT3Tz9eVPNT6i","2025-05-29 09:41:19.568539","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.8,260.66,"INR",1708.8,260.66,"INR","upi","upi_collect","succeeded",72.36,5505.07,"{}"
"pay_7arNmTsP4yPv0joiLYZnG","2025-05-29 09:28:48.734998","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1708.8,260.66,"INR",1708.8,260.66,"INR","upi","upi_collect","succeeded",72.36,4129.29,"{}"
"pay_JfSRkXzzSvSZSBHALozCr","2025-05-29 08:12:33.584725","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1709.71,260.8,"INR",1709.71,260.8,"INR","upi","upi_collect","succeeded",72.39,2753.51,"{}"
"pay_DjypeNIuvA6E3uH7qtz1Y","2025-05-29 06:10:56.151202","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1710.3,260.89,"INR",1710.3,260.89,"INR","upi","upi_collect","succeeded",72.42,1376.99,"{}"
"pay_hNeYJL0uN4o7W5n5t4Y12","2025-05-29 06:08:25.221148","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1710.3,260.89,"INR",1710.3,260.89,"INR","card",NULL,"failed",0,NULL,"{}"
"pay_8IIO3ztXuVzQJ8MugA9mx","2025-05-29 06:00:48.441176","cus_QBS8qYKadLxytsoFbbFKX","Nitin Bansal","nitinbansal85@gmail.com","IN",1710.3,260.89,"INR",1710.3,260.89,"INR","card",NULL,"failed",0,NULL,"{}"
